Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,emotion
0.11829323,0.24966058,-0.19587041,-0.08501822,0.09253726,0.07500916,0.038194942999999995,0.0368005,0.8908908000000001,0.3671817,-0.04657506,0.6558554,0.44402215,0.12984519,0.1014241,0.39556047,-0.18327934,-0.56422436,-0.42986628,0.075089365,2
0.6794859000000001,0.18733062,0.13130234,0.69024426,0.30925614,-0.048129354000000006,0.03825547,0.31582925,0.64218915,0.40323377,0.16153987,0.5312183000000001,0.40044957,-0.015324055,0.009210665,0.30228394,-0.18191586,-0.44716242,-0.31801740000000006,0.12638876,2
0.9464116,0.41420907,0.22842392,0.8491770000000001,0.6204524,-0.026618501,0.06925819,0.55308247,0.46259540000000005,0.335003,0.1554664,0.68827385,0.43480352,0.024594197,-0.050978217,0.3885838,0.112644784,-0.0013573110000000002,-0.21490248,0.25898477,2
0.31317714,0.18121456,-0.1398541,0.13026544,0.26544976,-0.11342490000000001,-0.33031178,0.22133705,0.41163945,0.27004132,0.24139707,0.8475069,0.18378234,0.10081234,-0.0007019999999999999,0.4387132,0.07960859,-0.01970878,-0.30967864,0.21398766,2
-0.4350615,-0.3226788,-0.34151837,-0.072743036,-0.005514113,0.15850773,-0.49993226,0.1408789,0.4692679,0.18421142,0.15358302,0.78709847,0.14415409,0.059867214,0.07375358,0.29655722,-0.09112743,-0.21028993,-0.5230542,0.3043068,2
-0.3241527,-0.11194412,-0.28290516,-0.15177995,0.03590123,0.19902286,-0.21758324,-0.047089587999999995,0.69537306,0.15877768,-0.009210009,0.7365769,0.21482712,0.040628872999999996,-0.051543567,0.34639066,-0.31600156,-0.379366,-0.45619157,-0.026142638,2
-0.19813398,-0.026657727000000003,-0.22779809,0.01833957,0.010463925,0.19867463,-0.22212048,0.091367684,0.68041474,0.24751541,0.14744863,0.7766449000000001,0.2907595,0.11767169,-0.03956841,0.36816478,-0.23924436,-0.5208002,-0.43623453,-0.024534266000000002,2
1.0866058,0.083761886,-0.11970105,0.93327355,0.7683476,0.042675294,-0.12351516,0.56277,0.5872272,0.26734802,0.18922779999999997,0.6724233000000001,0.37025082,0.08559699,0.053205505,0.35201758,-0.3049646,-0.32806729999999995,-0.46405706,-0.08809906,2
0.52603245,0.28869015,-0.095000215,0.45164257,0.14271928,0.22275184,-0.08914705,0.3190903,0.46634406,0.37515529999999997,0.050406702000000005,0.5780151,0.22069272,-0.04201086,-0.002686311,0.24413089999999998,-0.37184033,-0.43618490000000004,-0.21254393,-0.18044274,2
0.27778518,0.38417554,-0.025637375,0.30493408,0.18893088,0.24018356,-0.25454962,0.34356186,0.32711002,0.37000582,-0.24293593,0.38170958,0.20496745,0.0509641,0.11907613,0.31816968,-0.31460908,-0.5150531,-0.25472996,-0.03017733,2
0.28321466,0.07584534,-0.5419895,0.21842839,0.102816835,0.27425903,-0.42131140000000006,0.19609152,0.26936057,0.5103614000000001,-0.13729085,0.30508587,0.28302059999999996,0.021216461000000002,0.08574591599999999,0.46444663,-0.23381501,-0.3804921,-0.30861998,0.16339031,2
-0.19333814,0.170786,-0.29906204,-0.14185454,0.027888302,0.03950317,-0.17614476,0.16257158,0.6755639,0.4712524,0.44798142,0.5639813,0.29606837,-0.115559064,0.010976622,0.5269937,-0.2041925,-0.33580467,-0.40814266,0.039093588,2
-0.28929570000000004,-0.019483773,-0.21445067,-0.064865835,0.030291425,-0.054481565999999995,-0.23695211,0.15978928,0.6307339,0.29978058,0.41635516,0.5547929,0.20949246,-0.034586728,0.026117322999999998,0.33372706,-0.17354444,-0.46385299999999996,-0.4258321,0.012797082,2
-0.33212307,0.018214522,-0.08964171,0.12665413,0.17225839999999998,0.039264355,-0.005394510999999999,0.110524625,0.5683951999999999,0.10227321,0.05900207,0.46040887,0.2086053,-0.04389446,0.006490632,0.17549394,-0.16925626,-0.36125165,-0.27474746,-0.047016422999999995,2
-0.24792199,0.10751244,0.12707202,0.13268536,0.15365295,-0.196856,0.122092746,-0.104643,0.46659938,-0.011296583,0.056383945,0.5025847999999999,0.23053649,0.19553126,0.005246315,0.46334258,-0.11972919,-0.40236962,-0.2043845,-0.039742168,2
-0.08663965,0.240103,-0.015603239,0.22586614,0.029169932000000003,-0.042595834000000006,0.028073424,-0.05177918,0.49636358,0.28049132,0.17276265,0.81084806,0.19597839,0.24324,-0.034230597,0.49584702,-0.15136465,-0.39451778,-0.43356875,-0.03715262,2
0.13720109,0.28618842,-0.009642537,0.30417654,0.2340373,0.02589899,-0.12715459,0.09241483,0.5918566999999999,0.3494139,0.14626902,0.7652091999999999,0.26752847,0.097009405,-0.13046584,0.31632802,-0.2971342,-0.50644636,-0.36040425,-0.05833853,2
-0.18243589999999998,0.08157329,0.16000451,-0.025818449,0.25325570000000003,-0.060474362000000004,-0.23830983,-0.21033798,0.62353355,0.44839358,0.004447443,0.67286897,0.28267983,0.09317932,0.054660425,0.23832893,-0.08032587,-0.22773056,-0.03171328,0.019200597,2
0.07429986,0.2562948,-0.15372029,-0.07301564,0.16472453,0.26850936,-0.40969118,0.011480664,0.54848814,0.48249352,0.32947773,0.6124938,0.2891651,0.16982618,0.14464433,0.39188173,-0.051950827000000005,-0.24646485,-0.19709654,0.1312919,2
-0.08411989,0.33248806,-0.108589485,0.16790608,0.25706324,0.1976243,-0.24174455,0.037177514,0.7354218000000001,0.44095615,0.30058968,0.6515824,0.18907015,0.16216744,0.028389096000000003,0.38493285,-0.21401109999999998,-0.44593257,-0.19467223,0.18088359,2
-0.019473048,0.3847256,0.17260829,0.23198473,0.1331369,0.046581414,-0.041956596,0.1143968,0.69743496,0.46587503,0.1645075,0.6784614000000001,0.19957352,0.038899485,0.1000722,0.4174366,-0.36146066,-0.4136165,-0.15496297,0.018870829,2
-0.053397648,0.33324528,0.8715407,0.01734681,0.20004643,0.06950615,0.46379194,0.08446891,0.8969004999999999,0.4500929,0.41926670000000005,0.42214566,0.1279525,0.011927908999999999,0.23414803,0.32098955,-0.31231827,-0.32555059999999997,-0.22445746,-0.022012556000000003,2
-0.23890879999999998,0.40889844,0.54688185,-0.11442735,0.22936656,-0.042298025999999996,-0.20211338,-0.5026888,0.7993418000000001,0.08577051,-0.09318949,0.06839231,0.22680034,0.049561176,-0.04060187,0.36115205,-0.17906177,-0.5255758,-0.36575532,-0.014201361000000001,2
0.67717147,0.5080498,0.7453311,0.21823299999999998,0.24543248,0.35346043,0.6893661,0.45516009999999996,0.38033566,-0.139037,0.60826236,0.12850699,0.5293081999999999,0.3010609,0.6150823000000001,0.48135436,0.23768683,0.08833467,0.21353179999999997,0.56372976,2
0.64172685,0.43321225,0.75193185,0.29963870000000004,0.100522086,0.1305539,0.43020585,0.28707063,0.43971637,-0.0316585,0.69504726,0.78622764,0.5505611999999999,0.06950841,0.4868233,0.48233682,0.19470046,-0.09596909599999999,0.08805452,0.48384659999999996,2
0.18601456,0.23684691,0.97566694,0.22867624,0.045611035,0.08398478,0.72232634,0.22380787,0.5506220000000001,0.5419506,0.91564596,0.8344302,0.5706557,0.45075879999999996,0.43758009999999997,0.8484986999999999,0.20204271,0.3565566,0.101771295,0.81466734,2
0.28461859999999994,0.30692777,0.9748203999999999,0.12818745,0.33555055,-0.016809588,0.7605331999999999,0.23209295,0.7485356,0.47352079999999996,0.91564596,0.72578204,0.39776236,0.34344888,0.45105892,0.6157098000000001,0.13539839,0.072154194,0.11624374,0.42500879999999996,2
0.55402136,0.26435447,0.3235842,0.4033795,0.42826590000000003,-0.22851679,-0.023041218999999998,0.097800836,0.70659775,0.50331116,0.5508353,0.7301247,0.46919929999999993,0.33281568,0.19175652,0.57742226,0.27865229999999996,0.10605061,0.095604695,0.20271108,2
0.20725954,-0.06357304,0.11005316,0.13443588,0.28924933,-0.3337518,-0.06977636,0.37939304,0.75609046,0.51174945,0.5381961999999999,0.8898155000000001,0.35735404,0.23405127,0.2244908,0.31515846,0.22470537,0.03062156,0.19263563,0.25510573,2
0.10271495,0.16125794,0.39935914,0.32643829999999996,0.33118746,-0.061046578,0.08386598,0.4443008,0.6035173,0.4683946,0.17355745,0.871975,0.3284953,0.33495727,0.11300485,0.37209177,0.13307223,0.13383698,0.12706575,0.30710807,2
0.22465575,0.06982807,0.63489413,0.31980214,-0.09142849,-0.09953757,0.36300522,0.15245013,0.55754244,0.34873253,0.45355500000000004,0.59937143,0.3567349,0.24584268,0.24785417,0.5776707,0.1443191,0.18701951,-0.005423676999999999,0.24268642,2
0.277708,0.004005213,0.35838109999999995,0.25872546,-0.012187277,-0.007010809000000001,-0.015325448,0.064975604,0.7612358,0.24587117,0.21908972,0.62326014,0.38118586,0.32607990000000003,0.12567963,0.53958297,0.08736095,0.048603155,0.20668298,0.2589925,2
0.8141033000000001,0.39299273,0.23343332,0.9732462,0.38268736,0.11714037,-0.25248122,0.6086425999999999,0.9473799999999999,0.30860668,0.24806377,1.0615786,0.5393984000000001,0.21745284,0.3655664,0.586987,0.38972571,0.16306281,0.24654731,0.45040459999999993,2
0.418729,0.77391875,-0.04110207,1.1291838,0.28814062,0.1475559,-0.12009558,0.74545145,0.8130491999999999,0.1346955,-0.053534824,1.0357823,1.0601393,0.23840283,0.48522606,0.5350267,1.0581323999999999,0.25328365,0.25860822,0.60154486,2
-0.10032189,0.55815995,-0.04110207,-0.061533757,-0.037685275,0.29953718,-0.12009558,-0.02546335,0.66061723,0.6041466,-0.053534824,0.3294538,0.81899375,0.48561794,0.48522606,0.72629005,0.69749415,0.12782319,0.25860822,-0.007760486,2
-0.14554802,0.85880136,-0.04110207,-0.16912693,-0.18835957,0.52208143,-0.12009558,-0.038032413,0.58926326,0.6634302,-0.053534824,0.477242,0.32245029999999997,0.4734851,0.48522606,0.6198087,0.005404552,0.032119602000000004,0.25860822,0.088718235,2
0.43916170000000004,1.0069839,0.27972218,0.13071844,0.3766969,0.55537874,0.056140475,0.23292329999999997,0.7842793,0.8463924999999999,0.5157965,0.8724946,0.36916634,0.5298895,0.34866315,0.51707155,0.45467854,0.24791752,0.5142612,0.29770574,2
0.67570513,1.2904904,0.24852443,0.48180977,0.41755107,0.91186875,0.056922454000000004,0.48737118,0.7857183000000001,0.8463924999999999,0.36473846,0.81899554,0.7087895000000001,0.67757714,0.5125268,0.48776573,0.89665985,0.31658465,0.6666191999999999,0.45003864,2
0.35243863,0.26084504,0.19781046,0.2255907,0.3604285,-0.36760303,0.23393925,0.12755550000000002,0.51139754,0.008027931,0.73593724,0.44745827,0.4877073,0.4941741,0.14973754,0.34840116,0.31424102,0.48328770000000004,0.10267260000000002,0.15927431,2
0.108722195,0.5579951,1.0986526,0.12455001,-0.1435985,-0.70791435,0.57260823,0.09103181,0.31502333,-0.12600039999999998,0.7692201999999999,0.38974738,0.49331653,0.7128342,0.37798637,0.37108412,0.43255234,0.86964417,0.17365411,0.20672627,2
0.41279954,0.6122115,0.93426955,0.43352926,-0.07966526,-0.6687291999999999,0.24688976,0.3576778,0.49565554,-0.18277131,0.47493893,0.7907081,0.22565249,0.75836635,0.261646,0.54801977,0.2666382,0.9297028,0.1455909,0.26042777,2
0.45711765,0.6122115,0.83491075,0.52459526,0.12974313,-0.6687291999999999,0.17418633,0.253152,0.53502136,-0.18277131,0.52273494,0.80777854,0.33704653,0.75836635,0.15546289,0.45763729999999997,0.14841513,0.9297028,-0.045244314,0.003787405,2
0.24488863,0.1930134,0.648595,0.5495623000000001,0.26300266,0.093528815,0.12817827,0.2940864,0.7985336999999999,0.083220124,0.50007915,0.7361973,0.36591843,0.139205,0.14220776,0.51896816,-0.028903567999999998,-0.2008412,-0.001095595,0.23566656,2
-0.3233052,0.017648838,0.31300494,-0.25072473,0.14984703,-0.006238698000000001,-0.03099398,0.29418668,0.6032343000000001,0.1842137,0.26942068,0.79170394,0.37676993,0.17813988,0.12604865,0.46177778,0.059150025,-0.15844467,-0.046118293,0.19712104,2
0.49328710000000003,0.12186582,0.39656863,0.38911444,0.59686196,-0.005720986999999999,0.014032818999999998,0.43536782,1.6105621,0.7148713000000001,0.38501942,1.0192008,0.5596814,0.21548681,0.118668735,0.34767354,0.19403963,0.030519418,-0.15949409,0.22053917,2
0.87158155,0.55729914,-0.23216237,0.45534462,0.5912776999999999,0.29966295,-0.12206133,0.3253818,1.5826142,0.80935335,0.31873720000000005,0.6875608,0.5158680999999999,0.2870762,0.07030688,0.5614744,0.31546363,0.039535902000000005,-0.10466326,0.48385957,2
