TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Mellow,Concentration,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,emotion
32:39.6,0.11829323,0.24966058,-0.19587041,-0.08501822,0.09253726,0.07500916,0.038194943,0.0368005,0.8908908,0.3671817,-0.04657506,0.6558554,0.44402215,0.12984519,0.1014241,0.39556047,-0.18327934,-0.56422436,-0.42986628,0.075089365,745.42126,791.3553,782.8938,790.14655,784.90845,0,0,-0.149902344,0.175354004,0.971252441,3.304748535,-4.314117432,-1.413116455,1,1,1,1,1,40,sad
32:40.6,0.6794859,0.18733062,0.13130234,0.69024426,0.30925614,-0.048129354,0.03825547,0.31582925,0.64218915,0.40323377,0.16153987,0.5312183,0.40044957,-0.015324055,0.009210665,0.30228394,-0.18191586,-0.44716242,-0.3180174,0.12638876,823.9927,771.2088,790.54944,814.7253,981.9414,0,0,-0.15222168,0.182617188,0.969238281,4.411315918,-5.330963135,-2.519683838,1,1,1,1,1,40,sad
32:41.6,0.9464116,0.41420907,0.22842392,0.849177,0.6204524,-0.026618501,0.06925819,0.55308247,0.4625954,0.335003,0.1554664,0.68827385,0.43480352,0.024594197,-0.050978217,0.3885838,0.112644784,-0.001357311,-0.21490248,0.25898477,805.4579,804.2491,789.34064,796.5934,714.7985,0,0,-0.152099609,0.176147461,0.971130371,3.790740967,-4.291687012,-1.286010742,1,1,1,1,1,40,sad
32:42.7,0.31317714,0.18121456,-0.1398541,0.13026544,0.26544976,-0.1134249,-0.33031178,0.22133705,0.41163945,0.27004132,0.24139707,0.8475069,0.18378234,0.10081234,-7.02E-04,0.4387132,0.07960859,-0.01970878,-0.30967864,0.21398766,859.85345,801.02563,782.49084,817.1429,852.1978,0,0,-0.159423828,0.176330566,0.970825195,3.521575928,-4.231872559,-1.600036621,1,1,1,1,1,40,sad
32:43.7,-0.4350615,-0.3226788,-0.34151837,-0.072743036,-0.005514113,0.15850773,-0.49993226,0.1408789,0.4692679,0.18421142,0.15358302,0.78709847,0.14415409,0.059867214,0.07375358,0.29655722,-0.09112743,-0.21028993,-0.5230542,0.3043068,749.85345,791.75824,788.93774,782.8938,628.5714,6,6,-0.156860352,0.175598145,0.967651367,3.274841309,-4.665527344,-1.712188721,1,1,1,1,1,40,sad
32:44.7,-0.3241527,-0.11194412,-0.28290516,-0.15177995,0.03590123,0.19902286,-0.21758324,-0.047089588,0.69537306,0.15877768,-0.009210009,0.7365769,0.21482712,0.040628873,-0.051543567,0.34639066,-0.31600156,-0.379366,-0.45619157,-0.026142638,799.81683,796.5934,785.31134,808.2784,737.3626,25.999996,6,-0.161071777,0.17578125,0.972351074,3.753356934,-4.074859619,-1.674804688,1,1,1,1,1,40,sad
32:45.7,-0.19813398,-0.026657727,-0.22779809,0.01833957,0.010463925,0.19867463,-0.22212048,0.091367684,0.68041474,0.24751541,0.14744863,0.7766449,0.2907595,0.11767169,-0.03956841,0.36816478,-0.23924436,-0.5208002,-0.43623453,-0.024534266,850.989,796.1905,783.69965,817.9487,830.0366,46.000008,0,-0.156494141,0.183105469,0.973327637,3.177642822,-4.710388184,-1.263580322,1,1,1,1,1,40,sad
32:46.8,1.0866058,0.083761886,-0.11970105,0.93327355,0.7683476,0.042675294,-0.12351516,0.56277,0.5872272,0.26734802,0.1892278,0.6724233,0.37025082,0.08559699,0.053205505,0.35201758,-0.3049646,-0.3280673,-0.46405706,-0.08809906,750.65936,800.2198,778.86444,786.52014,671.685,36,0,-0.158996582,0.177246094,0.973876953,2.923431396,-3.932800293,-1.786956787,1,1,1,1,1,40,sad
32:47.8,0.52603245,0.28869015,-0.095000215,0.45164257,0.14271928,0.22275184,-0.08914705,0.3190903,0.46634406,0.3751553,0.050406702,0.5780151,0.22069272,-0.04201086,-0.002686311,0.2441309,-0.37184033,-0.4361849,-0.21254393,-0.18044274,860.2564,798.60803,790.54944,821.5751,931.5751,15.999995,0,-0.157104492,0.176635742,0.975769043,3.155212402,-4.224395752,-1.637420654,1,1,1,1,1,40,sad
32:48.8,0.27778518,0.38417554,-0.025637375,0.30493408,0.18893088,0.24018356,-0.25454962,0.34356186,0.32711002,0.37000582,-0.24293593,0.38170958,0.20496745,0.0509641,0.11907613,0.31816968,-0.31460908,-0.5150531,-0.25472996,-0.03017733,779.2674,798.20514,794.9817,813.5165,638.6447,9.999996,0,-0.15246582,0.177856445,0.967834473,3.401947021,-3.648681641,-2.00378418,1,1,1,1,1,40,sad
