Gamma_TP10,Beta_TP10,Gamma_AF8,Gamma_TP9,Delta_TP9,Delta_AF8,Delta_TP10,Beta_TP9,Beta_AF8,Beta_AF7,Gamma_AF7,Theta_TP9,Theta_TP10,Theta_AF7,Delta_AF7,Alpha_TP10,Alpha_AF7,Class
0.148265573,0.504697909,-0.368987837,-0.006401748,0.751642543,1.241092001,0.434001523,0.572833204,0.248279696,0.360753705,-0.2669846,0.432455817,0.5305012,0.364035064,1.137731668,1.130165377,0.21256436,2
0.148265573,0.504697909,-0.424164179,-0.006401748,0.751642543,1.2992108,0.434001523,0.572833204,0.295778982,0.360753705,-0.2669846,0.432455817,0.5305012,0.364035064,1.137731668,1.130165377,0.21256436,2
0.148265573,0.504697909,-0.389931317,-0.006401748,0.751642543,0.558157739,0.434001523,0.572833204,0.315529221,0.194026158,-0.343757764,0.432455817,0.5305012,0.287083423,1.15608975,1.130165377,0.457128552,2
0.367338733,0.690641064,-0.330480412,0.246397631,0.796774856,0.99409247,0.549118054,0.56672545,0.273616466,0.265950642,-0.295449483,0.868471788,0.769166112,0.103581305,0.867684529,1.306648247,0.426304673,2
0.403797277,0.639525793,-0.29160518,0.266886382,0.775547928,1.083485449,0.51908155,0.675239746,0.373701892,0.222701847,-0.302928773,0.784557527,0.788158295,0.210303982,0.78695589,1.377811272,0.45630768,2
0.398561057,0.717169985,-0.252979879,0.233739058,1.070160164,1.265962767,0.862819328,0.687879421,0.479452454,0.28090761,-0.348109369,0.740430811,0.778385803,0.182165679,1.109320433,1.391911077,0.460790773,2
0.385681772,0.702480847,-0.18128518,0.185569765,1.220482335,1.365482996,1.084898233,0.760341229,0.557840123,0.272398499,-0.419876672,0.76625668,0.829407274,0.138569938,1.20847324,1.227747801,0.430803698,2
0.283180056,0.681501249,-0.029371592,0.084450073,1.561134062,1.300544379,1.404370242,0.682621931,0.579311267,0.259916107,-0.451862888,0.69779598,0.754502332,-0.014790662,1.278734123,1.172587026,0.417318481,2
0.289781472,0.674005797,0.036658597,0.089866261,1.621530986,1.404321184,1.446111664,0.651940838,0.648210809,0.211560386,-0.503469674,0.827763114,0.754376267,0.527718536,1.450144877,0.961538685,0.203728797,2
0.261998125,0.698197562,0.062118841,0.104626181,1.738523277,1.528431529,1.542226854,0.547858827,0.669275402,0.17097287,-0.511353536,0.732369885,0.590129023,0.775489557,1.671825697,0.841254476,0.431951122,2
0.309776231,0.848414427,0.010345486,0.158664771,1.555698129,1.700983886,1.252026765,0.496106805,0.726619881,0.244676613,-0.535541678,0.919835465,0.504477903,0.97412752,1.849934746,0.836021609,0.538580557,2
0.309776231,0.848414427,-0.036837969,0.158664771,1.555698129,1.782503236,1.252026765,0.496106805,0.638027451,0.291038228,-0.397689642,0.919835465,0.504477903,1.015835667,1.940013749,0.836021609,0.535016508,2
0.309776231,0.848414427,-0.036837969,0.158664771,1.555698129,1.782503236,1.252026765,0.496106805,0.638027451,0.229823746,-0.235447908,0.919835465,0.504477903,0.598268517,1.372175799,0.836021609,0.584802456,2
0.651306826,0.720989708,-0.177880141,0.151048822,0.468111791,0.759983271,1.468723863,0.663579832,0.442189936,0.123512356,-0.347738834,0.247690948,0.452515184,0.028554512,0.335165771,0.536338216,0.318214947,2
0.651306826,0.720989708,-0.278390625,0.151048822,0.468111791,1.054096389,1.468723863,0.663579832,0.413946372,0.111365144,-0.362494522,0.247690948,0.452515184,0.064597608,0.418999258,0.536338216,0.320720557,2
0.691841499,0.736940768,-0.348687399,0.228433173,0.441791167,1.273422894,1.330790299,0.779637348,0.338109508,0.106509578,-0.469525525,-0.034697103,0.503537406,0.069796623,0.508932296,0.482701477,0.189879958,2
0.681898396,0.831403332,-0.378314253,0.115089568,0.942499998,1.265127445,0.979203402,0.638580444,0.232292451,0.053388494,-0.420855627,1.143144769,0.835529142,-0.031387272,0.534003993,0.851760175,0.188246597,2
0.681898396,0.831403332,-0.358023491,0.115089568,0.942499998,1.307307227,0.979203402,0.638580444,0.13573366,0.080897056,-0.38072393,1.143144769,0.835529142,-0.197952161,0.439740538,0.851760175,0.159409165,2
0.681898396,0.831403332,-0.361408023,0.115089568,0.942499998,0.762402801,0.979203402,0.638580444,0.111752554,0.080897056,-0.38072393,1.143144769,0.835529142,-0.197952161,0.439740538,0.851760175,0.159409165,2
0.546073455,0.872656172,-0.210912951,0.066159544,0.634703164,0.694855009,0.492608493,0.6939079,0.247435167,-0.105061254,-0.500528997,0.509937394,0.267970929,-0.238103182,0.315555863,0.880098096,0.313397807,2
0.508794974,0.874219661,-0.219794171,0.050679232,0.766396669,0.43427236,0.713698698,0.625508802,0.229813135,-0.07851191,-0.562662811,0.504886506,0.215538725,-0.073170872,0.238681042,0.892646545,0.443479996,2
0.508794974,0.874219661,-0.251094307,0.050679232,0.766396669,0.5203736,0.713698698,0.625508802,0.188651039,-0.07851191,-0.562662811,0.504886506,0.215538725,-0.073170872,0.238681042,0.892646545,0.443479996,2
0.468013595,0.87577754,-0.370658601,0.034626667,0.867309684,0.610395675,0.859501237,0.544286131,0.152384149,-0.053492504,-0.635194262,0.499776184,0.155895913,0.046078993,0.14520786,0.71183683,0.432272589,2
0.24654083,0.650035616,-0.457654157,0.069555802,0.9430621,0.895123634,1.164895919,0.531085121,0.535944495,0.263334201,-0.357312051,0.490140884,0.500617782,0.578859177,0.736866795,0.829547857,0.734551073,2
0.469924189,0.637583162,-0.526561774,-0.135638346,0.801462354,0.732099734,1.010245058,0.48514363,0.498308983,0.220402789,-0.395552158,0.499549681,0.476274475,0.384597955,0.548262587,0.840503464,0.7358615,2
0.469924189,0.637583162,-0.531768147,-0.135638346,0.801462354,0.752461126,1.010245058,0.48514363,0.480374731,0.220315211,-0.389586335,0.499549681,0.476274475,0.358523332,0.561450574,0.840503464,0.7358615,2
0.591054818,0.627357562,-0.589350869,-0.128672488,0.51514264,0.646956985,0.828341197,0.354439929,0.27407807,0.180894233,-0.418444012,0.375215346,0.455767035,0.011034954,0.328810357,0.596723731,0.579182985,2
0.604196094,0.661559998,-0.610454285,-0.09701905,0.534973061,0.649951211,0.846446429,0.351488514,0.142055779,0.025165428,-0.528567882,0.349599395,0.42962118,0.054963621,0.460144781,0.511094833,0.205586247,2
0.604196094,0.661559998,-0.605589382,-0.164109997,0.800172123,0.562089109,0.846446429,0.519773398,0.116350062,-0.009090677,-0.57762875,0.478176574,0.42962118,0.122551849,0.429216516,0.511094833,-0.030625291,2
0.604196094,0.661559998,-0.605589382,-0.164109997,0.800172123,0.562089109,0.846446429,0.519773398,0.116350062,-0.009090677,-0.57762875,0.478176574,0.42962118,0.122551849,0.429216516,0.511094833,-0.030625291,2
0.485182187,0.887711775,-0.492827973,0.14255341,1.266857735,0.41938902,1.237620285,0.666953314,0.03400868,0.100021371,-0.451009655,0.755511008,0.443837904,0.078785262,0.480683688,0.953791945,0.303951571,2
