Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Class
0.751642543,1.137731668,1.241092001,0.434001523,0.432455817,0.364035064,1.142506116,0.5305012,1.093901038,0.21256436,1.039817565,1.130165377,0.572833204,0.360753705,0.248279696,0.504697909,-0.006401748,-0.2669846,-0.368987837,0.148265573,817.5457875,786.1172161,784.1025641,835.2747253,899.3406593,-0.254822,0.189148,0.967285,6.624451,-3.529053,-0.755157,1.0,1.0,1.0,1.0,1.0,55.0,2
0.751642543,1.137731668,1.2992108,0.434001523,0.432455817,0.364035064,1.170195359,0.5305012,1.093901038,0.21256436,1.038513105,1.130165377,0.572833204,0.360753705,0.295778982,0.504697909,-0.006401748,-0.2669846,-0.424164179,0.148265573,784.9084249,792.1611722,788.1318681,776.043956,705.1282051,-0.253479,0.190308,0.972778,5.121613,-4.157104,-2.13089,1.0,1.0,1.0,1.0,1.0,55.0,2
0.751642543,1.15608975,0.558157739,0.434001523,0.432455817,0.287083423,0.384313825,0.5305012,1.093901038,0.457128552,0.617499442,1.130165377,0.572833204,0.194026158,0.315529221,0.504697909,-0.006401748,-0.343757764,-0.389931317,0.148265573,783.6996337,791.7582418,809.8901099,777.6556777,547.1794872,-0.256958,0.177124,0.978088,5.016937,-3.671112,-2.871094,1.0,1.0,1.0,1.0,1.0,55.0,2
0.796774856,0.867684529,0.99409247,0.549118054,0.868471788,0.103581305,0.368374164,0.769166112,1.21636972,0.426304673,0.633314588,1.306648247,0.56672545,0.265950642,0.273616466,0.690641064,0.246397631,-0.295449483,-0.330480412,0.367338733,797.8021978,806.2637363,770.4029304,805.4578755,739.7802198,-0.262817,0.190125,0.967773,5.85434,-5.50293,-0.964508,1.0,1.0,1.0,1.0,1.0,55.0,2
0.775547928,0.78695589,1.083485449,0.51908155,0.784557527,0.210303982,0.384291783,0.788158295,1.221838806,0.45630768,0.761618714,1.377811272,0.675239746,0.222701847,0.373701892,0.639525793,0.266886382,-0.302928773,-0.29160518,0.403797277,807.8754579,753.8827839,744.2124542,823.1868132,707.9487179,-0.244263,0.184814,0.968018,5.473022,-4.164581,-2.392578,1.0,1.0,1.0,1.0,1.0,55.0,2
1.070160164,1.109320433,1.265962767,0.862819328,0.740430811,0.182165679,0.526754248,0.778385803,1.240465975,0.460790773,0.891124737,1.391911077,0.687879421,0.28090761,0.479452454,0.717169985,0.233739058,-0.348109369,-0.252979879,0.398561057,814.3223443,770.8058608,778.8644689,801.8315018,653.956044,-0.248779,0.189758,0.964722,5.734711,-2.968292,-1.637421,1.0,1.0,1.0,1.0,1.0,55.0,2
1.220482335,1.20847324,1.365482996,1.084898233,0.76625668,0.138569938,0.768992158,0.829407274,1.141025407,0.430803698,1.236612426,1.227747801,0.760341229,0.272398499,0.557840123,0.702480847,0.185569765,-0.419876672,-0.18128518,0.385681772,811.0989011,797.8021978,794.1758242,769.1941392,594.3223443,-0.25592,0.195679,0.986877,6.22818,-2.160797,-3.663635,1.0,1.0,1.0,1.0,1.0,55.0,2
1.561134062,1.278734123,1.300544379,1.404370242,0.69779598,-0.014790662,1.010198622,0.754502332,1.126066091,0.417318481,1.249279696,1.172587026,0.682621931,0.259916107,0.579311267,0.681501249,0.084450073,-0.451862888,-0.029371592,0.283180056,830.03663,788.5347985,828.8278388,821.5750916,633.003663,-0.228882,0.195312,0.960876,0.680389,-2.325287,39.70932,1.0,1.0,1.0,1.0,1.0,45.0,2
1.621530986,1.450144877,1.404321184,1.446111664,0.827763114,0.527718536,1.119861409,0.754376267,1.154715053,0.203728797,1.220307105,0.961538685,0.651940838,0.211560386,0.648210809,0.674005797,0.089866261,-0.503469674,0.036658597,0.289781472,807.0695971,859.047619,758.7179487,784.5054945,770.4029304,-0.187378,0.22113,0.980896,2.100983,-6.325378,-21.196747,1.0,1.0,1.0,1.0,1.0,45.0,2
1.738523277,1.671825697,1.528431529,1.542226854,0.732369885,0.775489557,1.169766246,0.590129023,1.106478474,0.431951122,1.18846228,0.841254476,0.547858827,0.17097287,0.669275402,0.698197562,0.104626181,-0.511353536,0.062118841,0.261998125,782.8937729,834.8717949,1011.758242,780.4761905,621.7216117,-0.186157,-0.150696,0.983215,-36.105499,-14.781647,-7.200165,1.0,1.0,1.0,1.0,1.0,45.0,2
